Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,GDP_log,Population_log,GDP_per_capita_log
Qatar,213003000000.0,213.003 billion,1.19,2979082,71500.0,0.20%,26.084572087068388,14.907126093005846,11.177466714598282
Hungary,212389000000.0,212.389 billion,-0.91,9686463,21926.0,0.20%,26.08168533590059,16.08624000498956,9.9954740331485
Ukraine,178757000000.0,178.757 billion,5.32,37732836,4737.0,0.17%,25.909293178598517,17.44604128126849,8.463370384718731
Kuwait,163705000000.0,163.705 billion,-3.64,4838782,33832.0,0.15%,25.821331864540618,15.392173800793906,10.429191936530588
Ethiopia,163698000000.0,163.698 billion,6.5,128691692,1272.0,0.15%,25.821289103783993,18.672930125028664,7.149131598557407
Morocco,144417000000.0,144.417 billion,3.4,37712505,3829.0,0.14%,25.695970785014456,17.445502321547885,8.250620082174692
Slovakia,132908000000.0,132.908 billion,1.38,5518055,24086.0,0.13%,25.612922996497268,15.523536182312439,10.089427554852794
Dominican Republic,121444000000.0,121.444 billion,2.36,11331265,10718.0,0.11%,25.522719088135936,16.24307636550857,9.27977314669152
Ecuador,118845000000.0,118.845 billion,2.36,17980083,6610.0,0.11%,25.50108596004014,16.704775258854454,8.796490207333578
Sudan,109266000000.0,109.266 billion,-20.11,50042791,2183.0,0.10%,25.4170511132973,17.72838903737019,7.688913336864796
Oman,108811000000.0,108.811 billion,1.31,5049269,21550.0,0.10%,25.41287826920806,15.434754236347095,9.978177498167572
Kenya,108039000000.0,108.039 billion,5.56,55339003,1952.0,0.10%,25.405758110006072,17.828988534329504,7.577121930876679
Guatemala,104450000000.0,104.45 billion,3.53,18124838,5763.0,0.098%,25.37197432495856,16.71279387590694,8.659386957119413
Bulgaria,102408000000.0,102.408 billion,1.89,6795803,15069.0,0.096%,25.352230671509986,15.731815920863657,9.620461291620542
Uzbekistan,101592000000.0,101.592 billion,6.29,35652307,2850.0,0.096%,25.344230628842986,17.38932444326196,7.955425088912672
Costa Rica,86497941439.0,86.498 billion,5.11,5105525,16942.0,0.081%,25.183386452219555,15.445834040512016,9.737610048158107
Luxembourg,85755006124.0,85.755 billion,-1.1,665098,128936.0,0.081%,25.17476030175486,13.407691180738079,11.767079191958294
Angola,84824654482.0,84.825 billion,1.0,36749906,2308.0,0.080%,25.16385207431634,17.419646253007674,7.744569809354496
